sample,raw,qc,denoising,read-merging,clustering,taxa-filter,rare-otus-filter,subsampling,lulu
Soil_DNA_reincubated_soil_rainfed_rep2_R1_R1,0,0,43670 (1126 uniques),0,0,0,0,0,0
Soil_RNA_reincubated_soil_irrigated_rep3_R1_R1,0,0,44088 (532 uniques),0,0,0,0,0,0
Soil_RNA_fresh_soil_rainfed_rep3_R1_R1,0,0,41014 (612 uniques),0,0,0,0,0,0
Soil_RNA_dreid_soil_irrigated_rep3_R1_R1,0,0,43834 (659 uniques),0,0,0,0,0,0
Soil_RNA_incubated_soil_rainfed_rep4_R1_R1,0,0,41241 (648 uniques),0,0,0,0,0,0
Soil_RNA_fresh_soil_rainfed_rep1_R1_R1,0,0,42442 (791 uniques),0,0,0,0,0,0
Soil_DNA_incubated_soil_irrigated_rep2_R1_R1,0,0,43368 (1359 uniques),0,0,0,0,0,0
Soil_RNA_incubated_soil_rainfed_rep3_R1_R1,0,0,41040 (654 uniques),0,0,0,0,0,0
Soil_DNA_incubated_soil_irrigated_rep3_R1_R1,0,0,43543 (1493 uniques),0,0,0,0,0,0
Soil_RNA_reincubated_soil_irrigated_rep4_R1_R1,0,0,44320 (523 uniques),0,0,0,0,0,0
Soil_RNA_incubated_soil_rainfed_rep2_R1_R1,0,0,41054 (670 uniques),0,0,0,0,0,0
Soil_DNA_incubated_soil_rainfed_rep2_R1_R1,0,0,43344 (1236 uniques),0,0,0,0,0,0
Soil_RNA_dried_soil_rainfed_rep2_R1_R1,0,0,43267 (549 uniques),0,0,0,0,0,0
Soil_DNA_dreid_soil_irrigated_rep3_R1_R1,0,0,44016 (973 uniques),0,0,0,0,0,0
Soil_DNA_reincubated_soil_irrigated_rep3_R1_R1,0,0,43619 (940 uniques),0,0,0,0,0,0
