"","RNA_dreid_irrigated_rep1_R1","RNA_dreid_irrigated_rep3_R1","RNA_dreid_irrigated_rep4_R1","RNA_dried_rainfed_rep1_R1","RNA_dried_rainfed_rep2_R1","RNA_dried_rainfed_rep3_R1","RNA_dried_rainfed_rep4_R1","RNA_fresh_irrigated_rep1_R1","RNA_fresh_irrigated_rep2_R1","RNA_fresh_irrigated_rep3_R1","RNA_fresh_irrigated_rep4_R1","RNA_fresh_rainfed_rep1_R1","RNA_fresh_rainfed_rep2_R1","RNA_fresh_rainfed_rep3_R1","RNA_fresh_rainfed_rep4_R1","RNA_incubated_irrigated_rep1_R1","RNA_incubated_irrigated_rep2_R1","RNA_incubated_irrigated_rep3_R1","RNA_incubated_irrigated_rep4_R1","RNA_incubated_rainfed_rep2_R1","RNA_reincubated_irrigated_rep1_R1","RNA_reincubated_irrigated_rep2_R1","RNA_reincubated_irrigated_rep3_R1","RNA_reincubated_irrigated_rep4_R1","RNA_reincubated_rainfed_rep1_R1","RNA_reincubated_rainfed_rep2_R1","RNA_reincubated_rainfed_rep3_R1","RNA_reincubated_rainfed_rep4_R1"
"RNA_fresh_irrigated_rep4_R1",0.194286894267188,0.191551372947034,0.176029041438983,0.212504196164625,0.197921178851629,0.188650290453091,0.198677003015382,0.0995226649884834,0.0595755199006329,0.0548344391436975,0,0.0928579501518915,0.0737371183933031,0.0585978759073759,0.0628319276096702,0.150116283026283,0.130160513666118,0.123973497488395,0.126315991505749,0.139059985554824,0.156033372160813,0.160647544246852,0.170300057245174,0.161676754771603,0.244216971381631,0.192772402989536,0.173873532500288,0.189402249940931
"RNA_fresh_rainfed_rep1_R1",0.188317623630647,0.185369063615939,0.160904009191106,0.158651724426316,0.194664007299971,0.159017275871206,0.172139433922802,0.106267237358216,0.100850544959062,0.101728995519898,0.0928579501518915,0,0.0873823293542864,0.0884031546155157,0.104966452452511,0.142394116014543,0.130255837013752,0.13642690003102,0.13896818540383,0.105613076755357,0.174624731449154,0.184280613799012,0.181747596974543,0.17200913782609,0.203870369706137,0.174127305857346,0.158069823888083,0.183530181236391
"RNA_fresh_rainfed_rep2_R1",0.189178483781308,0.179959889590604,0.165120885225048,0.196300195554221,0.188017317756889,0.175163904443193,0.187618427686113,0.0976844203737858,0.0941913116902861,0.0847996451532714,0.0737371183933031,0.0873823293542864,0,0.0719829549604143,0.0894939822956084,0.140695413561104,0.135839507446209,0.127789754163571,0.132776552061075,0.109443288685047,0.1591287192075,0.16352167422337,0.168110274174208,0.158080149269929,0.226589461242709,0.167801177097115,0.16185619145693,0.179357311089506
"RNA_fresh_rainfed_rep3_R1",0.18113098150614,0.202103546975653,0.184143855741381,0.205028855344046,0.186069620356454,0.177607757755265,0.191539392665368,0.085381174685388,0.0717748402871808,0.0773608281008266,0.0585978759073759,0.0884031546155157,0.0719829549604143,0,0.0494749873296322,0.134385297054687,0.131727455528516,0.116766613213582,0.119798464664466,0.123002964400681,0.150399944223411,0.168832801701055,0.181118395204169,0.174555789323122,0.241327525828546,0.191520985452569,0.170663918475192,0.191590456773335
"RNA_fresh_rainfed_rep4_R1",0.19053898606932,0.212169839100881,0.197091403153457,0.214666123958656,0.195352505727468,0.191698834032085,0.201823315520443,0.100231882816335,0.0592778674322649,0.0631400504342654,0.0628319276096702,0.104966452452511,0.0894939822956084,0.0494749873296322,0,0.152644015148013,0.142466931694961,0.128866780271284,0.136045242935881,0.142547534851315,0.158852439959725,0.173414348990316,0.185961635736503,0.179991353316731,0.252897019270775,0.202492393824266,0.180521537001104,0.195835272766762
"RNA_incubated_irrigated_rep1_R1",0.171639601441465,0.214409762922127,0.191644258425583,0.205983768000856,0.19997276174057,0.173231023005579,0.202714586493874,0.0956966266872031,0.154923492614587,0.168105897166106,0.150116283026283,0.142394116014543,0.140695413561104,0.134385297054687,0.152644015148013,0,0.114800991860931,0.106194210855155,0.101250057275651,0.100716791453633,0.137590175056362,0.190380521930804,0.210184192990298,0.204762548054584,0.259151590889357,0.208984269654625,0.189630713679568,0.207959626160427
"RNA_incubated_irrigated_rep2_R1",0.166541854282199,0.164541215111684,0.142345787023379,0.175310602080257,0.178698613463515,0.140818950058309,0.159330964887785,0.141680922801575,0.128583588090207,0.148060279611742,0.130160513666118,0.130255837013752,0.135839507446209,0.131727455528516,0.142466931694961,0.114800991860931,0,0.0887055578192667,0.114790508339964,0.0985642359513142,0.143579396977811,0.134064720827576,0.151487948028775,0.150708385383726,0.217026286358751,0.166590985857409,0.142283317501769,0.156607163919123
"RNA_incubated_irrigated_rep3_R1",0.181091763864052,0.185780216165749,0.162994032778982,0.201109232345852,0.193407679817932,0.170607346649837,0.189082759311001,0.123326083838759,0.127215228241483,0.138902008159654,0.123973497488395,0.13642690003102,0.127789754163571,0.116766613213582,0.128866780271284,0.106194210855155,0.0887055578192667,0,0.0666938616478008,0.0958827719746728,0.148559665926323,0.157086873278429,0.166033189169497,0.159870002724281,0.231263951452255,0.176281191283144,0.164110546483655,0.178759973318336
"RNA_incubated_irrigated_rep4_R1",0.191676665825999,0.201870154634787,0.170832003725473,0.215468015556265,0.205687502287574,0.187808061877125,0.203490339491279,0.120961823107173,0.133844690240866,0.148098255021401,0.126315991505749,0.13896818540383,0.132776552061075,0.119798464664466,0.136045242935881,0.101250057275651,0.114790508339964,0.0666938616478008,0,0.107857220980536,0.150384741165945,0.175345955187623,0.193055757972881,0.172668573953243,0.246432838564123,0.187752287921054,0.17869078568989,0.194796816712197
"RNA_incubated_rainfed_rep2_R1",0.174376902288883,0.162268986272078,0.137574940873672,0.161739775607635,0.183521441780736,0.134670074048632,0.153918255412357,0.122140508756558,0.140026483743332,0.143865593967697,0.139059985554824,0.105613076755357,0.109443288685047,0.123002964400681,0.142547534851315,0.100716791453633,0.0985642359513142,0.0958827719746728,0.107857220980536,0,0.161142293013909,0.166680105091793,0.161301825330495,0.149583536007606,0.200460422683625,0.142842701350503,0.134669489928487,0.157110227882128
