"","RNA_dreid_irrigated_rep1_R1","RNA_dreid_irrigated_rep3_R1","RNA_dreid_irrigated_rep4_R1","RNA_dried_rainfed_rep1_R1","RNA_dried_rainfed_rep2_R1","RNA_dried_rainfed_rep3_R1","RNA_dried_rainfed_rep4_R1","RNA_fresh_irrigated_rep1_R1","RNA_fresh_irrigated_rep2_R1","RNA_fresh_irrigated_rep3_R1","RNA_fresh_irrigated_rep4_R1","RNA_fresh_rainfed_rep1_R1","RNA_fresh_rainfed_rep2_R1","RNA_fresh_rainfed_rep3_R1","RNA_fresh_rainfed_rep4_R1","RNA_incubated_irrigated_rep1_R1","RNA_incubated_irrigated_rep2_R1","RNA_incubated_irrigated_rep3_R1","RNA_incubated_irrigated_rep4_R1","RNA_incubated_rainfed_rep2_R1","RNA_reincubated_irrigated_rep1_R1","RNA_reincubated_irrigated_rep2_R1","RNA_reincubated_irrigated_rep3_R1","RNA_reincubated_irrigated_rep4_R1","RNA_reincubated_rainfed_rep1_R1","RNA_reincubated_rainfed_rep2_R1","RNA_reincubated_rainfed_rep3_R1","RNA_reincubated_rainfed_rep4_R1"
"RNA_incubated_irrigated_rep4_R1",0.607289547000568,0.567888053080489,0.516012848449197,0.578956421998474,0.604081766992466,0.550371685247258,0.558438977332421,0.610520210269087,0.613004305491001,0.588406929493568,0.53771650128697,0.581403414000847,0.611423007713953,0.565792106188833,0.60370777566918,0.552967112027765,0.520229536767599,0.466469250460124,0,0.526475667949951,0.632101864667448,0.675284195358617,0.648135061761859,0.62727776239989,0.616225224563257,0.623919873058981,0.624927708616675,0.646726086327801
"RNA_incubated_rainfed_rep2_R1",0.566129096719926,0.598447097386266,0.576817154387244,0.570738989837275,0.535805498486025,0.526931791193841,0.547774964366224,0.56987403405864,0.655863367812386,0.62891104022377,0.603198112533196,0.602491683778693,0.555320169997463,0.56321186408927,0.600510229216944,0.495909058372196,0.566453122520132,0.553600150695353,0.526475667949951,0,0.590717947043677,0.687734554952552,0.673124692805169,0.643376409588593,0.613137431314447,0.540750291895122,0.605286600170573,0.636721333615693
"RNA_reincubated_irrigated_rep1_R1",0.557205659387604,0.58751407581594,0.587425703351463,0.592692373248449,0.597563511945682,0.562677407476381,0.570362978651899,0.625397524907039,0.689244307087542,0.692544459341264,0.689045238262049,0.690682887594968,0.675036266232177,0.655831072205182,0.677033596260528,0.594910385694634,0.632385864804556,0.624770708956067,0.632101864667448,0.590717947043677,0,0.538940800700415,0.519913219485007,0.479553168592877,0.498690013066541,0.475811292412462,0.432635129780143,0.480780305462089
"RNA_reincubated_irrigated_rep2_R1",0.691967333563153,0.625721435693685,0.649988593064401,0.675597876012057,0.680807084162559,0.657007066210497,0.648694991705675,0.725673830403843,0.67950991161151,0.719955170794515,0.723470876504392,0.745104467472225,0.747979090840706,0.714417858848959,0.717368263264204,0.719902351843925,0.657150346501184,0.683176476719612,0.675284195358617,0.687734554952552,0.538940800700415,0,0.433772142165165,0.437069058747463,0.526839839311693,0.581412870245507,0.503861543055664,0.465301935906948
"RNA_reincubated_irrigated_rep3_R1",0.669430392880149,0.579089069281446,0.633612312222563,0.663929728018569,0.655712230691024,0.649663456837281,0.622101251504232,0.709065262180627,0.695496933416901,0.700775644680819,0.713772368945024,0.738657780431462,0.730685176227,0.69770161417417,0.723109789870253,0.711713318409702,0.655190200832242,0.650625702439625,0.648135061761859,0.673124692805169,0.519913219485007,0.433772142165165,0,0.39694617817979,0.51640662791744,0.53585569754778,0.454211141144664,0.479005272077464
"RNA_reincubated_irrigated_rep4_R1",0.653261138326448,0.579626271620608,0.58640278416031,0.62156086171901,0.625357799880497,0.614805921154441,0.583606111368567,0.703545931447319,0.670371241873206,0.697602490989254,0.680207099076513,0.710517531751191,0.717846097375567,0.680751024794749,0.706527492332132,0.682870022903972,0.627411705859979,0.646854582251857,0.62727776239989,0.643376409588593,0.479553168592877,0.437069058747463,0.39694617817979,0,0.462758967926492,0.506592032670528,0.413504950609941,0.447651898635596
"RNA_reincubated_rainfed_rep1_R1",0.628875714920316,0.551996071016672,0.57301832534448,0.523755095828391,0.604448619798789,0.583983649068017,0.581182230170124,0.674718154228327,0.668127852450281,0.692115783864069,0.673077700643743,0.636213109879547,0.678219290516093,0.656006883578269,0.689418620733583,0.660891134826253,0.622700734211073,0.615326918517743,0.616225224563257,0.613137431314447,0.498690013066541,0.526839839311693,0.51640662791744,0.462758967926492,0,0.484257236959042,0.453067103482817,0.497466584054741
"RNA_reincubated_rainfed_rep2_R1",0.579190427347568,0.569733056323647,0.58081730962457,0.565554668665183,0.522443931944741,0.554167560802751,0.541336640650991,0.650878285371848,0.670609840321462,0.678803889814441,0.671311346591952,0.67466454148704,0.634484961890321,0.633715145560918,0.684053453359058,0.626457976580067,0.629443315181217,0.632430070290819,0.623919873058981,0.540750291895122,0.475811292412462,0.581412870245507,0.53585569754778,0.506592032670528,0.484257236959042,0,0.47011796975209,0.504576947901565
"RNA_reincubated_rainfed_rep3_R1",0.622779132278586,0.583212536428918,0.583350970734539,0.593980124703277,0.608701729207729,0.562937458140586,0.548985743291682,0.676713403258446,0.668021851384649,0.685308808341757,0.682155425983787,0.68418001021473,0.693033724264385,0.647047410392569,0.683245091410355,0.649225485425319,0.622963612246306,0.638007436834333,0.624927708616675,0.605286600170573,0.432635129780143,0.503861543055664,0.454211141144664,0.413504950609941,0.453067103482817,0.47011796975209,0,0.408008771274009
"RNA_reincubated_rainfed_rep4_R1",0.662962490075851,0.612171917773745,0.610635922328003,0.651318238799035,0.641230675040565,0.600621260384994,0.576145126089209,0.702209697916795,0.673452600500545,0.705201108645674,0.701194568540015,0.713344717752495,0.713417133459166,0.666563394471668,0.678534597912029,0.669931961368608,0.640958501519455,0.651679844215406,0.646726086327801,0.636721333615693,0.480780305462089,0.465301935906948,0.479005272077464,0.447651898635596,0.497466584054741,0.504576947901565,0.408008771274009,0
