"","DNA_dreid_irrigated_rep1_R1","DNA_dreid_irrigated_rep2_R1","DNA_dreid_irrigated_rep3_R1","DNA_dreid_irrigated_rep4_R1","DNA_dried_rainfed_rep1_R1","DNA_dried_rainfed_rep2_R1","DNA_dried_rainfed_rep3_R1","DNA_dried_rainfed_rep4_R1","DNA_fresh_irrigated_rep1_R1","DNA_fresh_irrigated_rep2_R1","DNA_fresh_irrigated_rep3_R1","DNA_fresh_irrigated_rep4_R1","DNA_fresh_rainfed_rep1_R1","DNA_fresh_rainfed_rep2_R1","DNA_fresh_rainfed_rep3_R1","DNA_fresh_rainfed_rep4_R1","DNA_incubated_irrigated_rep1_R1","DNA_incubated_irrigated_rep2_R1","DNA_incubated_irrigated_rep3_R1","DNA_incubated_irrigated_rep4_R1","DNA_incubated_rainfed_rep1_R1","DNA_incubated_rainfed_rep2_R1","DNA_incubated_rainfed_rep3_R1","DNA_incubated_rainfed_rep4_R1","DNA_reincubated_irrigated_rep1_R1","DNA_reincubated_irrigated_rep2_R1","DNA_reincubated_irrigated_rep3_R1","DNA_reincubated_irrigated_rep4_R1","DNA_reincubated_rainfed_rep1_R1","DNA_reincubated_rainfed_rep2_R1","DNA_reincubated_rainfed_rep3_R1","DNA_reincubated_rainfed_rep4_R1","RNA_dreid_irrigated_rep1_R1","RNA_dreid_irrigated_rep2_R1","RNA_dreid_irrigated_rep3_R1","RNA_dreid_irrigated_rep4_R1","RNA_dried_rainfed_rep1_R1","RNA_dried_rainfed_rep2_R1","RNA_dried_rainfed_rep3_R1","RNA_dried_rainfed_rep4_R1","RNA_fresh_irrigated_rep4_R1","RNA_fresh_rainfed_rep1_R1","RNA_fresh_rainfed_rep2_R1","RNA_fresh_rainfed_rep4_R1","RNA_incubated_irrigated_rep1_R1","RNA_incubated_irrigated_rep2_R1","RNA_incubated_irrigated_rep3_R1","RNA_incubated_irrigated_rep4_R1","RNA_incubated_rainfed_rep2_R1","RNA_reincubated_irrigated_rep1_R1","RNA_reincubated_irrigated_rep2_R1","RNA_reincubated_irrigated_rep3_R1","RNA_reincubated_irrigated_rep4_R1","RNA_reincubated_rainfed_rep1_R1","RNA_reincubated_rainfed_rep2_R1","RNA_reincubated_rainfed_rep3_R1","RNA_reincubated_rainfed_rep4_R1"
"DNA_incubated_rainfed_rep4_R1",0.232791762896685,0.244499748307313,0.262832902161656,0.240045613626328,0.249467555980559,0.241936496630533,0.188630425762161,0.214222175215566,0.203593919311231,0.171979545436622,0.179270679404561,0.175633484566491,0.161527432215147,0.181336680815943,0.167472390407686,0.164924956281473,0.162974668575137,0.116367674648249,0.116829215174043,0.114400400302411,0.142016466757527,0.125841828060131,0.104812190159401,0,0.241072134782104,0.282865344159063,0.28339179325897,0.265864571503348,0.24748149091805,0.214407295119034,0.213610864427417,0.25740363478618,0.316905106976214,0.328419253948852,0.354205572329501,0.342427962332336,0.34863378990089,0.36477320947172,0.303861526230238,0.334625458303565,0.353793767769155,0.326612146487547,0.347913914911025,0.343789727733349,0.266395729428023,0.240719969427775,0.277652718413844,0.312676938212107,0.284996165629846,0.310831829835298,0.365992627085992,0.382693737836833,0.392289361499753,0.389054873411967,0.373362091116801,0.366810604363881,0.362120105043103
"DNA_reincubated_irrigated_rep1_R1",0.299136671423528,0.276048770070508,0.28076410838945,0.276344969935936,0.320703249036097,0.30374067662268,0.282129533024343,0.288376424454436,0.27803279921031,0.2751619092889,0.270892267162243,0.277808332480221,0.289772222750272,0.274749525071321,0.281363346477555,0.269116389514541,0.262348569685675,0.236782776443541,0.231096180591234,0.258858133217517,0.281590479076308,0.263810175319522,0.272780211387993,0.241072134782104,0,0.14980580797871,0.160520809666953,0.150275063177485,0.171528688545151,0.125889712477375,0.124023900396206,0.147219447969242,0.306691544729783,0.329385856132847,0.346018276454295,0.345206238261613,0.345860968196336,0.348688995694124,0.316673637373742,0.333388799460867,0.366329231130707,0.352822398100424,0.363107287220561,0.359710831936955,0.312523167757607,0.297772971634508,0.323506062214994,0.35167956760532,0.32222827339116,0.236497863687779,0.300710165641936,0.320314646286336,0.34131071098547,0.353437453785474,0.328457204446997,0.314833437976963,0.298567663673125
"DNA_reincubated_irrigated_rep2_R1",0.358277426416415,0.250204046672997,0.251050816807502,0.252694664959594,0.334963021157053,0.328784472085172,0.30119100723435,0.291288703346742,0.35023279367165,0.311346361580121,0.310431214985561,0.314018970677499,0.326435238534463,0.329569854450476,0.334155959320133,0.313137154163879,0.341199968947871,0.267901286338113,0.270123172544897,0.291636603219407,0.318256161532005,0.314482302255012,0.322035306447373,0.282865344159063,0.14980580797871,0,0.113561148739278,0.105297137607633,0.167957421885983,0.1585204286208,0.144761905044147,0.11502453184809,0.316618776220045,0.305236337218306,0.312792377645286,0.332158885231246,0.341255297427219,0.333321668569713,0.323426315026433,0.320991908485703,0.371832405906042,0.382089586466206,0.377932846228985,0.372513981773828,0.367359770275776,0.311106165242704,0.348217392704175,0.375966702103517,0.361573017627247,0.253511474355449,0.228793613162504,0.261209270368244,0.293594202480525,0.331708803374708,0.316705997098707,0.294689488097754,0.260688037639497
"DNA_reincubated_irrigated_rep3_R1",0.360075005067185,0.270079661912812,0.272284981632083,0.266394602493702,0.344230274720395,0.33575813713381,0.307298489284828,0.301749985292281,0.347237277804597,0.307951112395166,0.301316375704519,0.308038348472744,0.324113921231849,0.322169948227596,0.324996818320336,0.303272280379978,0.338705193155115,0.272254136456226,0.256060838903076,0.28512090116584,0.319199319677009,0.312211747586776,0.318846327138009,0.28339179325897,0.160520809666953,0.113561148739278,0,0.0984473776751506,0.195936612982003,0.170750116431717,0.153954379810651,0.143922645986472,0.328194587489648,0.310619133197147,0.324007323732001,0.333733593351137,0.348560248293077,0.347139729744913,0.329072474887348,0.331017105539153,0.368568577867546,0.368840247588927,0.374194421762185,0.366758587755959,0.352120283629048,0.303789947782544,0.330831902047099,0.361187317903865,0.346462147625904,0.249699100451761,0.248798069742245,0.269262389614654,0.300016382907303,0.334873897028978,0.314673106523779,0.295349171821976,0.269074576547686
"DNA_reincubated_irrigated_rep4_R1",0.355325866090328,0.238852455279642,0.250105169871682,0.230966920529909,0.335262857772186,0.329230730525814,0.297233426182343,0.286846502057935,0.335345736901456,0.287135073318391,0.285875351695454,0.285606443845571,0.306808578359498,0.311892286507798,0.314879059963737,0.293967602059311,0.322371042045535,0.24984353520972,0.241741578697768,0.261534858620863,0.304774770930449,0.295173835646339,0.309803874715465,0.265864571503348,0.150275063177485,0.105297137607633,0.0984473776751506,0,0.175651790695183,0.156238733061367,0.131911384119894,0.138351212906098,0.313909334700165,0.280645286778104,0.298821406892783,0.306537331821827,0.329699965437239,0.330267754214992,0.308317843243032,0.30918193838387,0.348364553229382,0.349347796379919,0.355452263331115,0.349884059263726,0.329324138906166,0.28114600574086,0.314236369368271,0.339459682920028,0.326377996715458,0.230964341777258,0.226833440210098,0.252926331865555,0.273134988784601,0.318023918862988,0.298964948746742,0.275851073967561,0.254565215115308
"DNA_reincubated_rainfed_rep1_R1",0.318704757728895,0.229230402672772,0.230678395218291,0.225685936226259,0.246248356036163,0.289799760978481,0.256142099275441,0.241449666381963,0.31761412027302,0.291673640114191,0.284842849856662,0.287210733728556,0.275113291154276,0.304444884054539,0.308237785212249,0.297478611104378,0.306007393899892,0.257969124487401,0.254725080472883,0.270743102229029,0.244511818060323,0.279681722528699,0.293349603845011,0.24748149091805,0.171528688545151,0.167957421885983,0.195936612982003,0.175651790695183,0,0.114474214932731,0.123937397054092,0.123438148750215,0.286661104649477,0.289742180964048,0.309699497501533,0.31407415983283,0.288464125776676,0.310453204501138,0.273733477404129,0.29350782077633,0.365169649646186,0.339913213806629,0.364661673462859,0.362803931920797,0.325238827355019,0.279319489027759,0.315918953341964,0.356600935577131,0.317240663537356,0.268391770470849,0.274205838095681,0.302400455001933,0.319496934438006,0.298370461571718,0.302295822552935,0.289440653604632,0.271074472874466
"DNA_reincubated_rainfed_rep2_R1",0.284769565082923,0.23450937685066,0.236391331472356,0.226289558273758,0.273110257546434,0.263128358943277,0.231970478493434,0.231620137116231,0.276448223627166,0.260768749571682,0.25145897822033,0.258978330714827,0.262859421256944,0.252602830126749,0.265886944573203,0.254229695049277,0.265698813476516,0.237870471030867,0.219787890102713,0.232879835853575,0.249703726317386,0.230341892997739,0.254080570706525,0.214407295119034,0.125889712477375,0.1585204286208,0.170750116431717,0.156238733061367,0.114474214932731,0,0.0913936432321125,0.108064289352767,0.269500152082694,0.285604634846693,0.303376625537793,0.306897667909145,0.298638840695302,0.301537389839974,0.266102249828984,0.287528567049195,0.352410297424309,0.33632190788844,0.346412329104099,0.346431043429473,0.295996837543131,0.268263442429509,0.299990787081573,0.333068795092803,0.29766300262632,0.240487799972284,0.277964658920906,0.302007690573147,0.319950172063899,0.317858039644851,0.292975646349597,0.289299431521041,0.27062509770921
"DNA_reincubated_rainfed_rep3_R1",0.3037868435127,0.224005441034533,0.237341447699209,0.218344558464318,0.28971740612256,0.285390527018943,0.243222765894699,0.237292896179961,0.293070293106414,0.257190284131719,0.256800013363279,0.25861453780681,0.267010857746392,0.272660147899765,0.2725109204443,0.25694146737845,0.27551109329111,0.2297460601378,0.218841002646679,0.238071201740611,0.255963297314573,0.246834350113535,0.255343647835051,0.213610864427417,0.124023900396206,0.144761905044147,0.153954379810651,0.131911384119894,0.123937397054092,0.0913936432321125,0,0.102689690657209,0.297637215372637,0.297677049705066,0.317668707922241,0.318876850069946,0.317920458072435,0.325291028642162,0.285225703829595,0.305012090021391,0.36294300794085,0.34276685088799,0.360252583236817,0.355835616683018,0.303545048350233,0.271739557641338,0.304815640279459,0.337688267981487,0.306980021567022,0.239961547929223,0.271585770145133,0.297168780697747,0.317337416194525,0.323783790090707,0.301830002395308,0.281768827301598,0.263494077841272
"DNA_reincubated_rainfed_rep4_R1",0.341542535851966,0.254239510422486,0.253381892835908,0.249812021255975,0.306934913412152,0.306289520133507,0.276074811896308,0.264918573351723,0.335086249825818,0.301069129952144,0.29466706949691,0.300394328475467,0.309607466143006,0.313052565329265,0.315570633500479,0.294488084583489,0.325232691211545,0.270404858462217,0.259261445775916,0.276996119711735,0.295001148510292,0.295113603422154,0.301711093925453,0.25740363478618,0.147219447969242,0.11502453184809,0.143922645986472,0.138351212906098,0.123438148750215,0.108064289352767,0.102689690657209,0,0.293041899280338,0.303588383518099,0.311007303717669,0.325879068310917,0.316218017182955,0.313263401832175,0.291903823226472,0.296593580046262,0.364182642884448,0.360592330226566,0.365083705498663,0.357511752009424,0.337791160080544,0.295309253469954,0.322610790993397,0.349553752365122,0.333330782973876,0.246601034947236,0.253017066676469,0.276591506317401,0.301384899369307,0.316266995013998,0.297471170841463,0.275651857662455,0.245507162152379
"RNA_dreid_irrigated_rep1_R1",0.237357022298636,0.250079782983032,0.22301232879047,0.220558411085598,0.196971468015697,0.196499357665525,0.215043681303627,0.205446397932248,0.315915187403964,0.315069324584884,0.312191380370001,0.316253667840822,0.318057813749691,0.298965497904569,0.312007688301197,0.31435537029997,0.32557738111212,0.343290151898056,0.324524204001443,0.30851326477917,0.304997129266918,0.301152249091649,0.313089617575353,0.316905106976214,0.306691544729783,0.316618776220045,0.328194587489648,0.313909334700165,0.286661104649477,0.269500152082694,0.297637215372637,0.293041899280338,0,0.229396209119087,0.239971653456008,0.247087093157212,0.123814493590931,0.104297560630403,0.117275325556608,0.128113582929468,0.319015569258817,0.296099596990121,0.30462454465851,0.310238261941085,0.292818372031133,0.273638842645306,0.302169013653136,0.3299223088181,0.274162496149848,0.251841419502214,0.290407629789576,0.301169708340884,0.308365330193987,0.296400379648209,0.281243585013222,0.270222887954394,0.285643216322578
"RNA_dreid_irrigated_rep2_R1",0.342373871602824,0.230339179551109,0.231978553587571,0.206915573325365,0.297081440315424,0.317602116993754,0.288013627090317,0.275149669432232,0.343997477893114,0.309549449660781,0.31518611327571,0.312057848500899,0.323138785933754,0.318901018484416,0.321362906122528,0.317280821804873,0.359225718433,0.335344086452454,0.321339211705584,0.302187656585537,0.315566054375447,0.322474914594446,0.345781497994625,0.328419253948852,0.329385856132847,0.305236337218306,0.310619133197147,0.280645286778104,0.289742180964048,0.285604634846693,0.297677049705066,0.303588383518099,0.229396209119087,0,0.0944114052306347,0.0888828396956775,0.194479131907372,0.238159764251099,0.165467659790465,0.150520208044085,0.259960164273055,0.234383384069866,0.248266204733047,0.284820602736617,0.276639510095769,0.175332370703576,0.242213894773507,0.267421697989158,0.205572426258392,0.230658916203286,0.167598088152188,0.169339154179049,0.155223520544535,0.198923498453226,0.16353425904087,0.164530817460515,0.168015180643141
"RNA_dreid_irrigated_rep3_R1",0.362424833752456,0.259183446258516,0.242399409152505,0.228216451628364,0.315601485783106,0.328830231530431,0.308939492576768,0.292077806505275,0.368635580113056,0.338771910942597,0.334373071980806,0.335313940978443,0.353629045973114,0.337362917720854,0.344129724742344,0.34066687663244,0.385650553487218,0.368315381589284,0.342690733481513,0.328059370183505,0.343990196167195,0.344825347970257,0.371127244663472,0.354205572329501,0.346018276454295,0.312792377645286,0.324007323732001,0.298821406892783,0.309699497501533,0.303376625537793,0.317668707922241,0.311007303717669,0.239971653456008,0.0944114052306347,0,0.0918760101668546,0.200658487883433,0.237418541984698,0.182590272521295,0.155346091860951,0.270902700357273,0.26452605574519,0.258147030342661,0.298421855276944,0.305629218773733,0.220503223759473,0.269948445142026,0.301953535423249,0.231529353206289,0.236748483616438,0.179646786101487,0.156027054813415,0.161474286171488,0.180268593814525,0.149812059964688,0.157338467521149,0.145617729741236
"RNA_dreid_irrigated_rep4_R1",0.358754766157924,0.286184544762746,0.279949992382757,0.251050676945974,0.324038123540316,0.340883137404618,0.314367734714659,0.30833146201125,0.346292304169992,0.321167744105936,0.322484643644248,0.318320424463687,0.331709553817253,0.323606954761624,0.328249151522963,0.326408450593733,0.366833327889876,0.355880484092944,0.335096690458349,0.313103634369632,0.328646896389244,0.331278519669025,0.355047592599856,0.342427962332336,0.345206238261613,0.332158885231246,0.333733593351137,0.306537331821827,0.31407415983283,0.306897667909145,0.318876850069946,0.325879068310917,0.247087093157212,0.0888828396956775,0.0918760101668546,0,0.205604526932161,0.254668880489833,0.186500474093791,0.169502997950143,0.241489666827928,0.229634650000419,0.229025600166567,0.271863575707141,0.275801655494206,0.188318389462464,0.227756711131674,0.24778659716728,0.190162985235924,0.233509896473713,0.197831275132367,0.180351239177123,0.146724791942484,0.196926059997741,0.139860007356687,0.158393731462673,0.166106048861259
"RNA_dried_rainfed_rep1_R1",0.288508006853848,0.271262471170176,0.245442970278449,0.244154476855762,0.208117996411683,0.23411717327947,0.252631335127299,0.239601332110312,0.357480127888238,0.340924283232735,0.335232369557515,0.338122049393473,0.331737553136336,0.329995420806911,0.339696750150836,0.342198923184921,0.368563224382087,0.37192661481255,0.355370167577498,0.335812836377674,0.316536712118646,0.336895077679095,0.343822717791491,0.34863378990089,0.345860968196336,0.341255297427219,0.348560248293077,0.329699965437239,0.288464125776676,0.298638840695302,0.317920458072435,0.316218017182955,0.123814493590931,0.194479131907372,0.200658487883433,0.205604526932161,0,0.124054851371733,0.0922570636687178,0.0901944746526978,0.316282681818764,0.242349016692489,0.291917223594261,0.319624225610227,0.32082439942794,0.270356668535193,0.312284046379596,0.340188905868958,0.248806042932907,0.282760312495243,0.277351245255303,0.263148783709404,0.266327110739668,0.211401454580496,0.226231352269347,0.216265180606988,0.235591518016752
